Datum;Zeit;Sens1;Sens2;Sens3;Sens4;Sens5;Sens6;Sens7;Sens8;Sens9;Sens10;Sens11;Sens12;Sens13;Sens14;Sens15;Sens16;Ausg1;Drehzst_A1;Ausg2;Drehzst_A2;Ausg3;Ausg4;Ausg5;Ausg6;Drehzst_A6;Ausg7;Drehzst_A7;Ausg8;Ausg9;Ausg10;Ausg11;Ausg12;Ausg13;kW1;kWh1;kW2;kWh2
22.05.2017; 09:25:10; 81,5; 55,4; 23,6; 48,0; 22,1; 24,3; 22,3; 56,2; 40,1; 28,7; 0,0; 16,7; 35,2; 26,3; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:27:10; 82,6; 55,4; 23,6; 47,8; 22,0; 24,2; 22,4; 56,1; 40,2; 28,7; 0,0; 16,8; 35,2; 26,1; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:29:10; 83,7; 55,4; 23,6; 47,6; 22,0; 24,2; 22,4; 56,0; 40,2; 28,6; 0,0; 16,9; 35,1; 26,0; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:31:10; 84,7; 55,4; 23,6; 47,4; 22,1; 24,2; 22,4; 56,0; 40,2; 28,4; 0,0; 17,0; 35,0; 25,9; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:33:10; 85,7; 55,4; 23,6; 47,2; 22,2; 24,2; 22,4; 56,0; 40,3; 28,2; 0,0; 17,0; 34,9; 25,8; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:35:10; 86,7; 55,4; 23,6; 47,0; 22,1; 24,3; 22,4; 55,9; 40,3; 28,1; 0,0; 17,0; 34,7; 25,6; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:37:10; 87,6; 55,4; 23,6; 46,9; 22,1; 24,2; 22,4; 55,9; 40,4; 28,0; 0,0; 17,2; 34,6; 25,6; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:39:10; 88,5; 55,4; 23,6; 46,8; 22,2; 24,2; 22,4; 55,9; 40,4; 27,9; 0,0; 17,2; 34,4; 25,5; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:41:10; 89,2; 55,4; 23,6; 46,4; 22,2; 24,2; 22,5; 55,9; 40,4; 27,9; 0,0; 17,3; 34,3; 25,4; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
22.05.2017; 09:43:10; 90,1; 55,4; 23,6; 46,4; 22,1; 24,2; 22,5; 55,8; 40,5; 27,7; 0,0; 17,4; 34,2; 25,3; 26,8; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25116,4; 0,0; 0,0;
