Datum;Zeit;Sens1;Sens2;Sens3;Sens4;Sens5;Sens6;Sens7;Sens8;Sens9;Sens10;Sens11;Sens12;Sens13;Sens14;Sens15;Sens16;Ausg1;Drehzst_A1;Ausg2;Drehzst_A2;Ausg3;Ausg4;Ausg5;Ausg6;Drehzst_A6;Ausg7;Drehzst_A7;Ausg8;Ausg9;Ausg10;Ausg11;Ausg12;Ausg13;kW1;kWh1;kW2;kWh2
01.06.2017; 00:00:00; 24,5; 87,5; 68,0; 56,8; 27,1; 40,4; 29,7; 89,3; 88,8; 26,5; 0,0; 18,1; 34,2; 25,4; 29,1; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:02:00; 24,5; 87,5; 68,0; 56,8; 27,1; 40,2; 29,7; 89,3; 88,7; 26,5; 0,0; 18,1; 34,2; 25,4; 29,1; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:04:00; 24,4; 87,5; 68,0; 56,8; 27,1; 40,2; 29,7; 89,3; 88,7; 26,5; 0,0; 18,1; 34,2; 25,4; 29,1; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:06:00; 24,3; 87,5; 67,9; 56,7; 27,1; 40,1; 29,7; 89,3; 88,8; 26,5; 0,0; 18,1; 34,1; 25,4; 29,1; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:08:00; 24,2; 87,5; 67,9; 56,7; 27,1; 40,0; 29,6; 89,3; 88,7; 26,5; 0,0; 18,1; 34,1; 25,4; 29,0; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:10:00; 24,2; 87,5; 67,9; 56,7; 27,1; 39,8; 29,6; 89,3; 88,7; 26,5; 0,0; 18,0; 34,0; 25,4; 29,1; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:12:00; 24,0; 87,5; 67,8; 56,7; 27,1; 39,8; 29,6; 89,3; 88,7; 26,5; 0,0; 18,0; 34,0; 25,4; 29,0; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:14:00; 24,0; 87,5; 67,8; 56,6; 27,0; 39,7; 29,6; 89,3; 88,7; 26,5; 0,0; 18,0; 34,0; 25,4; 29,0; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:16:00; 24,0; 87,5; 67,8; 56,6; 27,0; 39,7; 29,5; 89,3; 88,7; 26,5; 0,0; 18,0; 34,0; 25,4; 29,0; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
01.06.2017; 00:18:00; 24,0; 87,5; 67,7; 56,6; 27,0; 39,5; 29,4; 89,3; 88,7; 26,5; 0,0; 18,0; 33,9; 25,3; 29,0; 0,0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0; 0,0; 25286,9; 0,0; 0,0;
